Aug,31,0,0,0,322,172
Sep,01,0,0,0,344,217
Sep,02,0,0,0,328,233
Sep,03,10,0,0,261,206
Sep,04,777,0,0,233,172
Sep,05,0,0,0,178,139
Sep,06,0,0,0,233,122
Sep,07,20,0,0,250,167
Sep,08,0,0,0,283,144
Sep,09,0,0,0,217,133
Sep,10,0,0,0,256,122
Sep,11,3,0,0,283,183
Sep,12,434,0,0,283,222
Sep,13,0,0,0,311,256
Sep,14,1163,0,0,267,144
Sep,15,0,0,0,172,144
Sep,16,0,0,0,228,133
Sep,17,0,0,0,267,128
Sep,18,0,0,0,272,144
Sep,19,0,0,0,283,167
Sep,20,0,0,0,228,167
Sep,21,0,0,0,250,172
Sep,22,0,0,0,283,161
Sep,23,0,0,0,300,150
Sep,24,0,0,0,300,178
Sep,25,0,0,0,289,167
Sep,26,0,0,0,272,150
Sep,27,0,0,0,272,133
Sep,28,0,0,0,289,161
Sep,29,74,0,0,233,156
Sep,30,0,0,0,194,111
Oct,01,0,0,0,194,100
Oct,02,0,0,0,189,78
Oct,03,0,0,0,233,94
Oct,04,0,0,0,239,100
Oct,05,0,0,0,272,122
Oct,06,0,0,0,267,139
Oct,07,56,0,0,211,144
Oct,08,0,0,0,211,106
Oct,09,0,0,0,244,100
Oct,10,0,0,0,256,106
Oct,11,0,0,0,283,144
Oct,12,0,0,0,289,161
Oct,13,0,0,0,239,206
Oct,14,0,0,0,217,167
Oct,15,94,0,0,256,111
Oct,16,0,0,0,161,78
Oct,17,0,0,0,172,56
Oct,18,0,0,0,167,72
Oct,19,0,0,0,189,56
Oct,20,0,0,0,211,83
Oct,21,0,0,0,167,83
Oct,22,0,0,0,167,100
Oct,23,137,0,0,122,78
Oct,24,25,0,0,122,67
Oct,25,0,0,0,161,50
Oct,26,0,0,0,178,56
Oct,27,0,0,0,83,22
Oct,28,0,0,0,106,-17
Oct,29,0,0,0,183,11
Oct,30,0,0,0,228,33
Oct,31,0,0,0,239,94
Nov,01,0,0,0,233,94
Nov,02,0,0,0,244,111
Nov,03,0,0,0,250,117
Nov,04,0,0,0,233,89
Nov,05,0,0,0,239,133
Nov,06,8,0,0,200,106
Nov,07,0,0,0,111,50
Nov,08,0,0,0,67,28
Nov,09,0,0,0,50,-22
Nov,10,0,0,0,56,-33
Nov,11,114,0,0,100,39
Nov,12,10,0,0,144,83
Nov,13,0,0,0,172,56
Nov,14,206,0,0,139,67
Nov,15,25,0,0,67,22
Nov,16,0,0,0,139,-11
Nov,17,0,0,0,67,-17
Nov,18,0,0,0,39,-39
Nov,19,0,0,0,150,6
Nov,20,0,0,0,33,-28
Nov,21,0,0,0,0,-67
Nov,22,0,0,0,33,-39
Nov,23,8,0,0,111,-56
Nov,24,0,0,0,117,44
Nov,25,0,0,0,67,-22
Nov,26,0,0,0,128,-33
Nov,27,0,0,0,139,-11
Nov,28,0,0,0,100,17
Nov,29,10,0,0,78,22
Nov,30,91,25,61,22,6
