STATION  ,STATION_NAME  ,ELEVATION  ,LATITUDE  ,LONGITUDE  ,DATE  ,PRCP  ,SNWD  ,SNOW  ,TMAX  ,TMIN  ,WT09  ,WT14  ,WT07  ,WT01  ,WT15  ,WT17  ,WT06  ,WT05  ,WT02  ,WT11  ,WT22  ,WT04  ,WT13  ,WT16  ,WT08  ,WT18  ,WT03  ,WT10
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080126  ,0  ,0  ,0  ,122  ,-17  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080127  ,0  ,0  ,0  ,150  ,-33  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080128  ,0  ,0  ,0  ,133  ,0  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080129  ,0  ,0  ,3  ,228  ,-94  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,1  ,-9999  ,1  ,-9999  ,1  ,1  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080130  ,0  ,0  ,0  ,-11  ,-117  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080131  ,76  ,0  ,99  ,-11  ,-50  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080201  ,81  ,203  ,114  ,-6  ,-67  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,1  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080202  ,0  ,152  ,0  ,89  ,-56  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,1  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080203  ,36  ,25  ,0  ,44  ,-67  ,-9999  ,1  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,1  ,-9999  ,1  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080204  ,0  ,25  ,0  ,239  ,22  ,-9999  ,1  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,1  ,1  ,-9999  ,-9999  ,-9999  ,-9999
GHCND:USW00013994  ,ST LOUIS LAMBERT INTERNATIONAL AIRPORT MO US  ,161.8  ,38.7525  ,-90.37361  ,20080205  ,599  ,0  ,0  ,200  ,17  ,-9999  ,1  ,-9999  ,1  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,-9999  ,1  ,1  ,-9999  ,1  ,-9999
